"","lon","lat","range"
"1017219",31.237097,30.072728,10000
"1033486",31.401373,30.120031,303
"1033487",31.405286,30.122675,373
"1033488",31.401368,30.126291,285
"1033489",31.399039,30.131702,1363
"1033490",31.390581,30.120472,88
"1033491",31.384235,30.117416,521
"1033492",31.37816,30.114425,10000
"1033493",31.371338,30.113501,665
"1033494",31.36924,30.1101,305
"1033495",31.363041,30.106684,463
"1033496",31.355733,30.100873,1208
"1033497",31.35296,30.101536,97
"1033498",31.349906,30.099845,220
"1033499",31.346607,30.097959,90
"1033500",31.343068,30.095801,199
"1033501",31.34011,30.094126,10000
"1033502",31.339008,30.093598,10000
"1033503",31.334492,30.091156,443
"1033504",31.327801,30.087821,377
"1033505",31.323425,30.084799,182
"1033506",31.32073,30.083361,10000
"1033507",31.320319,30.083133,10000
"1033508",31.318318,30.081718,433
"1033509",31.313451,30.078429,69
"1033510",31.309728,30.076641,200
"1033511",31.305061,30.074923,217
"1033512",31.300533,30.073374,171
"1033513",31.29757,30.072296,48
"1033514",31.295743,30.071676,101
"1033515",31.29446,30.071269,10000
"1033516",31.29644,30.071663,494
"1033517",31.28962,30.067134,1488
"1033518",31.288674,30.072429,69
"1033519",31.287194,30.073467,64
"1033520",31.285191,30.074722,101
"1033521",31.284872,30.075546,184
"1033522",31.279558,30.077287,347
"1033523",31.272673,30.074938,1598
"1033524",31.270499,30.073229,130
"1033525",31.268203,30.071257,115
"1033526",31.266547,30.070187,50
"1033527",31.264104,30.069199,110
"1033528",31.262301,30.068419,10000
"1033529",31.261466,30.067862,142
"1033530",31.261025,30.067798,345
"1033531",31.256326,30.066637,1143
"1033532",31.252773,30.066896,361
"1033533",31.249508,30.064455,260
"1033534",31.251611,30.064166,1325
"1033535",31.24821,30.062399,542
"1033536",31.243946,30.059834,120
"1033537",31.242405,30.058355,59
"1033538",31.240607,30.056668,75
"1033539",31.239272,30.055401,62
"1033540",31.237431,30.053572,79
"1033541",31.234421,30.050646,269
"1033542",31.230829,30.049265,10000
"1033543",31.229518,30.049224,36
"1033544",31.226709,30.049137,177
"1033545",31.223904,30.049046,61
"1033546",31.225834,30.046892,613
"1033547",31.220848,30.048657,460
"1033548",31.207444,30.044508,890
"1033549",31.211356,30.048151,269
"1033550",31.211381,30.030422,37
"1033551",31.21148,30.03025,10000
"1033552",31.212201,30.031751,8
"1033553",31.212337,30.032133,49
"1033554",31.212189,30.032119,20
"1033555",31.212528,30.037424,351
"1033556",31.21172,30.037496,40
"1033557",31.211802,30.037899,77
"1033558",31.211825,30.037575,10000
"1033559",31.244119,30.045672,10000
"1033560",31.244124,30.045649,10000
"1033561",31.244124,30.045649,10000
"1033562",31.252861,30.043962,40
"1033563",31.253012,30.043777,10000
"1033564",31.258925,30.030647,451
"1033565",31.258204,30.029429,426
"1033566",31.256116,30.034127,167
"1033567",31.257252,30.035585,156
"1033568",31.258545,30.037345,809
"1033569",31.260642,30.040388,203
"1033570",31.261078,30.041282,339
"1033571",31.259708,30.040761,311
"1033572",31.25952,30.041122,8
"1033573",31.259331,30.04135,27
"1033574",31.258749,30.042179,235
"1033575",31.257881,30.042895,165
"1033576",31.257705,30.042956,10000
"1033577",31.257704,30.042956,10000
"1033578",31.257705,30.042956,10000
"1033579",31.257704,30.042956,10000
"1033580",31.257704,30.042956,10000
"1033581",31.257704,30.042957,10000
"1033582",31.257704,30.042958,10000
"1033583",31.255667,30.048841,736
"1033584",31.257731,30.042864,10000
"1033585",31.258044,30.042811,1
"1033586",31.259934,30.046482,275
"1033587",31.261064,30.049334,275
"1033588",31.261176,30.049399,39
"1033589",31.261959,30.051193,10000
"1033590",31.261759,30.051159,8
"1033591",31.257339,30.048519,216
"1033592",31.25384,30.049694,117
"1033593",31.251265,30.050435,93
"1033594",31.249461,30.051773,167
"1033595",31.249722,30.052029,96
"1033596",31.249929,30.051989,10
"1033597",31.249252,30.052291,57
"1033598",31.248829,30.052477,40
"1033599",31.248682,30.052445,1
"1033600",31.248688,30.052449,10000
"1033601",31.212372,30.038286,201
"1033602",31.211517,30.037164,210
"1033603",31.212112,30.033273,362
"1033604",31.211653,30.030282,71
"1033605",31.130831,29.97639,584
"1033606",31.132844,29.97788,31
"1033607",31.129945,29.975278,365
"1033608",31.130564,29.975498,301
"1033609",31.129593,29.974853,388
"1033610",31.132274,29.977006,41
"1033611",31.131642,29.974265,2780
"1033612",31.132343,29.976926,10000
"1033613",31.131237,29.974453,1307
"1033614",31.136515,29.97026,3088
"1033615",31.132366,29.974685,1179
"1033616",31.133392,29.976158,132
"1033617",31.130368,29.975451,435
"1033618",31.129973,29.977108,10000
"1033619",31.129951,29.977107,10000
"1033620",31.12995,29.977107,10000
"1033621",31.129608,29.97696,4
"1033622",31.129614,29.977,8
"1033623",31.129579,29.976981,10000
"1033624",31.129556,29.976986,10000
"1033625",31.12956,29.976983,10000
"1033626",31.130449,29.974648,180
"1033627",31.129419,29.974409,64
"1033628",31.129387,29.974263,40
"1033629",31.129013,29.973848,86
"1033630",31.129458,29.973876,10000
"1033631",31.12946,29.973875,10000
"1033632",31.129445,29.974052,20
"1033633",31.129399,29.973991,10000
"1033634",31.129388,29.974164,10000
"1033635",31.130196,29.973743,301
"1033636",31.129097,29.973935,10000
"1033637",31.128016,29.97299,10000
"1033638",31.128104,29.971941,45
"1033639",31.128003,29.972009,10000
"1033640",31.128017,29.972028,3
"1033641",31.12814,29.971945,10000
"1033642",31.128651,29.971983,1
"1033643",31.132626,29.97309,776
"1033644",31.1289,29.972675,75
"1033645",31.128836,29.972366,48
"1033646",31.128858,29.972112,10000
"1033647",31.130542,29.973793,227
"1033648",31.131341,29.974428,344
"1033649",31.136551,29.974797,781
"1033650",31.129101,29.972834,72
"1033651",31.130836,29.974297,10000
"1033652",31.130493,29.975565,286
"1033653",31.13367,29.97518,141
"1033654",31.138085,29.974931,563
"1033655",31.132278,29.974853,10000
"1033656",31.133489,29.975806,8
"1033657",31.135455,29.975437,26
"1033658",31.139454,29.975261,398
"1033659",31.14236,29.976882,184
"1033660",31.143724,29.978402,121
"1033661",31.143431,29.981497,213
"1033662",31.142893,29.983654,112
"1033663",31.142094,29.985492,100
"1033664",31.141677,29.986728,10000
"1033665",31.145744,29.987195,443
"1033666",31.144511,29.988473,177
"1033667",31.148958,29.989595,460
"1033668",31.153927,29.991388,193
"1033669",31.157024,29.992689,81
"1033670",31.164672,29.995417,115
"1033671",31.166363,29.996086,35
"1033672",31.168769,29.997027,154
"1033673",31.171661,29.99818,150
"1033674",31.173646,29.995572,357
"1033675",31.17381,29.998894,163
"1033676",31.178176,30.000527,255
"1033677",31.180672,30.001475,49
"1033678",31.193979,30.007811,2228
"1033679",31.192102,30.005926,105
"1033680",31.19354,30.006326,42
"1033681",31.194144,30.006601,14
"1033682",31.194463,30.006645,10000
"1033683",31.194583,30.006602,10000
"1033684",31.197456,30.007824,1992
"1033685",31.19639,30.007435,19
"1033686",31.197689,30.007925,10000
"1033687",31.199156,30.008412,112
"1033688",31.203082,30.009862,300
"1033689",31.200674,30.009198,32
"1033690",31.206996,30.010773,410
"1033691",31.034266,30.057937,10000
"1033692",31.033447,30.058566,20
"1033693",31.032976,30.058858,22
"1033694",31.032095,30.059558,132
"1033695",31.02669,30.058985,2388
"1033696",31.02618,30.062984,170
"1033697",31.022256,30.065075,182
"1033698",31.007125,30.074236,1926
"1033699",31.020759,30.066337,10000
"1033700",31.019166,30.067324,92
"1033701",31.018029,30.067718,10000
"1033702",31.016256,30.068738,142
"1033703",31.002861,30.07665,1613
"1033704",30.97922,30.087074,991
"1033705",30.966327,30.088361,177
"1033706",30.952534,30.084254,5202
"1033707",30.94966,30.078068,460
"1033708",30.94206,30.074698,1645
"1033709",30.916253,30.078023,1767
"1033710",30.883383,30.086206,1381
"1033711",30.873517,30.10505,492
"1033712",30.873244,30.124666,1727
"1033713",30.867314,30.130774,2303
"1033714",30.852952,30.143978,386
"1033715",30.849276,30.146461,10000
"1033716",30.841318,30.151947,905
"1033717",30.831711,30.158382,80
"1033718",30.800418,30.179531,3573
"1033719",30.811276,30.172279,2193
"1033720",30.75851,30.212689,2794
"1033721",30.706809,30.237178,3339
"1033722",30.652102,30.262037,2683
"1033723",30.598897,30.288917,3211
"1033724",30.565274,30.306143,513
"1033725",30.543842,30.316711,1708
"1033726",30.503662,30.333682,9162
"1033727",30.462588,30.34891,4587
"1033728",30.381224,30.392588,5777
"1033729",30.37754,30.391614,10000
"1033730",30.310261,30.452919,5169
"1033731",30.269021,30.479513,10000
"1033732",30.252476,30.498435,2492
"1033733",30.214051,30.538825,8027
"1033734",30.228833,30.525687,2145
"1033735",30.211092,30.543934,3850
"1033736",30.173656,30.581818,1668
"1033737",30.149951,30.604619,1804
"1033738",30.102133,30.650165,5831
"1033739",30.056405,30.693646,4359
"1033740",30.030857,30.717978,1946
"1033741",29.994703,30.752316,3161
"1033742",29.950668,30.794124,3106
"1033743",29.940992,30.803285,10000
"1033744",29.939429,30.804771,62
"1033745",29.920934,30.82331,1749
"1033746",29.894935,30.862751,3201
"1033747",29.898571,30.856376,361
"1033748",29.876335,30.895453,1719
"1033749",29.862182,30.917381,2089
"1033750",29.849089,30.937242,885
"1033751",29.842639,30.947721,406
"1033752",29.837375,30.956401,569
"1033753",29.829661,30.967144,1078
"1033754",29.820691,30.975574,714
"1033755",29.816013,30.979947,10000
"1033756",29.813595,30.985873,586
"1033757",29.811155,30.991877,79
"1033758",29.810326,30.993371,10000
"1033759",29.808862,30.997066,273
"1033760",29.807504,31.000216,10000
"1033761",29.800815,31.010051,1187
"1033762",29.804151,31.006046,313
"1033763",29.799975,31.010552,142
"1033764",29.796375,31.016485,618
"1033765",29.793126,31.023486,292
"1033766",29.787559,31.030142,608
"1033767",29.782816,31.036735,946
"1033768",29.786028,31.045868,817
"1033769",29.776281,31.042989,10000
"1033770",29.771558,31.052449,1398
"1033771",29.771001,31.05236,10000
"1033772",29.768782,31.056551,483
"1033773",29.766765,31.060291,10000
"1033774",29.766021,31.061695,65
