"","lon","lat","range"
"1323597",-14.430098,65.21888,100
"1323598",-18.099546,65.686618,12
"1454789",-20.338222,65.546379,5100
"1454790",-20.845258,65.348361,2522
"1454791",-21.00464,65.292204,8222
"1454792",-21.918873,64.518503,6233
"1454793",-21.901659,64.134857,177
"1608373",-21.875842,64.136505,29
"1608412",-21.714103,64.289219,58019
"1608413",-21.986257,64.151885,10000
"1608414",-21.96813,64.15041,250
"1608415",-21.925353,64.148121,10000
"1608416",-21.905733,64.146924,10000
"1608417",-21.892785,64.146277,10000
"1608418",-21.882927,64.139946,10000
"1719027",-21.818808,64.101218,62
"1868103",-18.1369,65.688063,10000
"1868104",-18.12875,65.687198,10000
"1868105",-18.117265,65.686997,10000
"1868106",-18.106732,65.687917,456
"1868107",-18.102544,65.688146,533
"1868108",-18.099916,65.688914,241
"1868109",-18.097407,65.68935,10000
"1868110",-18.093593,65.680299,236
"1868111",-18.09927,65.679492,1
"1868112",-18.098842,65.677655,10000
"1868114",-18.094012,65.669178,10000
"1868115",-18.100059,65.664944,490
"1868116",-18.096503,65.668068,10000
"1868117",-18.103355,65.663158,10000
"1868119",-18.098632,65.667422,508
"1868120",-18.094795,65.673211,106
"1868121",-18.115262,65.671137,135
"1868122",-18.120734,65.67221,176
"1868123",-18.12518,65.673385,10000
"1868124",-18.126647,65.673943,10000
"1868125",-18.094864,65.687079,55
"1868126",-18.097622,65.689503,10000
"1868233",-18.13348,65.68765,211
"1868234",-18.136803,65.688408,10000
"1868535",-18.106627,65.690533,10000
"1868536",-18.12042,65.720164,5661
"1868537",-18.122786,65.698953,324
"1868538",-18.098882,65.687815,10000
"1868539",-18.08978,65.684105,10000
"1868540",-18.08761,65.681242,10000
"1868541",-18.123572,65.677582,10000
"1868542",-18.113375,65.678332,10000
"1868543",-18.102685,65.67918,10000
"1868544",-18.064282,65.784521,429
"1868545",-18.058721,65.836223,6758
"1868546",-18.070372,65.859518,7541
"1868547",-18.134699,65.937811,2475
"1868548",-18.140616,65.935546,5350
"1868609",-18.074962,65.747907,10000
"1869185",-18.134312,65.696039,77
"1869334",-18.014105,65.814502,10000
"1869335",-17.83503,65.745039,8546
"1869336",-17.917045,65.76434,1598
"1869337",-17.670772,65.709191,2468
"1869338",-17.479608,65.707353,10000
"1869339",-17.4677,65.722297,10000
"1869340",-17.440638,65.733318,10000
"1869341",-17.404995,65.733618,368
"1869342",-17.342729,65.694514,3589
"1869343",-17.271945,65.649348,963
"1869344",-17.120935,65.597233,10000
"1869345",-17.003927,65.63572,10000
"1869346",-16.947274,65.646417,2145
"2024869",-21.944116,64.151461,7
"2024870",-21.943972,64.151415,1
